SYMBOL	SERIES	LTP	%CHNG	MKT CAP
(₹ Crores)	VOLUME
(Lakhs)	VALUE
(₹ Crores)
SURYAROSNI	EQ	262.10	1.76	5,704.24	7.96	20.92
TDPOWERSYS	EQ	403.00	1.46	6,294.20	5.18	20.83
MANINDS	EQ	293.95	0.17	1,902.89	7.10	20.79
UNIMECH	EQ	965.00	2.14	4,907.69	2.13	20.69
GESHIP	EQ	935.80	0.80	13,360.15	2.21	20.54
CRISIL	EQ	4,309.00	1.59	31,511.72	0.48	20.33
ESCORTS	EQ	3,270.00	1.29	36,584.03	0.62	20.14
HOMEFIRST	EQ	1,027.00	3.58	9,248.70	1.98	20.02
SIYSIL	EQ	740.55	5.00	3,359.88	2.74	19.93
TTML	EQ	59.98	1.75	11,725.66	33.39	19.91
PNGJL	EQ	546.50	2.80	7,416.46	3.67	19.80
HERITGFOOD	EQ	412.80	1.71	3,830.62	4.82	19.80
RITES	EQ	231.90	0.15	11,145.20	8.47	19.57
CAMPUS	EQ	242.05	2.87	7,392.17	7.94	19.19
JUBLINGREA	EQ	671.50	2.68	10,695.73	2.84	19.06
MANYAVAR	EQ	793.00	2.16	19,263.97	2.38	18.77
SARTELE	SM	293.65	3.02	1,383.31	6.35	18.76
HONASA	EQ	236.70	0.28	7,697.10	7.68	18.31
TI	EQ	247.94	1.72	4,800.96	7.36	18.15
NITINSPIN	EQ	361.00	8.65	2,029.54	5.03	17.97
GPPL	EQ	142.91	1.05	6,908.84	12.53	17.74
BHARTIHEXA	EQ	1,454.00	0.49	72,700.00	1.21	17.73
FIVESTAR	EQ	703.00	0.82	20,698.23	2.50	17.54
SANATHAN	EQ	385.15	3.38	3,250.82	4.54	17.45
JBMA	EQ	619.00	1.16	14,639.00	2.83	17.38
ALOKINDS	EQ	15.92	2.91	7,904.66	109.81	17.29
BERGEPAINT	EQ	512.00	1.37	59,693.81	3.39	17.27
AXISCADES	BE	926.30	5.00	3,936.56	1.87	17.25
MID150BEES	EQ	197.96	0.19	1,964.86	8.76	17.24
SDBL	EQ	129.93	0.17	2,533.48	13.15	17.16
INDIAMART	EQ	2,146.60	1.89	12,886.50	0.81	17.10
SUVEN	EQ	131.47	4.50	2,867.02	12.76	17.00
DONEAR	EQ	119.80	12.72	622.96	14.29	16.93
DAMCAPITAL	EQ	239.99	0.68	1,696.39	7.05	16.91
DCXINDIA	EQ	244.48	2.19	2,723.18	6.81	16.62
PNCINFRA	EQ	274.00	3.38	7,029.17	6.04	16.47
GSPL	EQ	298.00	1.48	16,813.50	5.46	16.20
JSFB	EQ	431.00	6.42	4,527.53	3.82	16.17
CPSEETF	EQ	87.44	1.63	37,761.85	18.62	16.17
BIKAJI	EQ	681.90	1.97	17,087.92	2.34	15.85
HIKAL	EQ	425.80	1.71	5,250.15	3.65	15.58
IIFLCAPS	EQ	227.55	6.25	7,053.04	6.90	15.47
SAMHI	EQ	151.20	2.52	3,344.64	10.21	15.26
EMSLIMITED	EQ	659.00	3.63	3,659.48	2.36	15.24
MTNL	EQ	45.50	1.72	2,866.50	33.79	15.17
E2E	EQ	2,030.00	1.24	4,053.48	0.75	15.09
POLYMED	EQ	2,250.05	2.70	22,798.79	0.67	15.03
BBL	EQ	2,949.00	1.55	3,333.29	0.51	14.93
VENUSPIPES	EQ	1,274.00	0.82	2,602.92	1.17	14.86
LLOYDSENT	EQ	50.70	5.01	6,449.68	29.13	14.65
BAYERCROP	EQ	4,940.00	2.53	24,752.98	0.30	14.56
GIPCL	EQ	188.10	2.38	2,845.03	7.73	14.48
KIRLOSBROS	EQ	1,729.95	1.58	13,737.35	0.83	14.32
ACI	EQ	549.50	2.08	6,782.35	2.62	14.32
NORTHARC	EQ	190.80	8.14	3,079.12	7.76	14.27
ARVINDFASN	EQ	401.95	3.17	5,357.02	3.56	14.03
PATELENG	EQ	41.85	2.70	3,533.71	33.91	14.00
INDIASHLTR	EQ	843.25	2.69	9,098.27	1.70	13.95
THANGAMAYL	EQ	2,072.00	1.17	6,440.19	0.67	13.93
RENUKA	EQ	29.15	1.99	6,204.55	47.71	13.78
IXIGO	EQ	146.20	3.12	5,703.42	9.47	13.75
KITEX	EQ	189.72	5.00	3,784.91	7.28	13.64
SANGHVIMOV	EQ	262.90	4.80	2,276.08	5.22	13.62
TRIVENI	EQ	382.15	0.86	8,365.19	3.58	13.60
DISHTV	EQ	6.16	3.01	1,134.21	223.92	13.44
